(44209,30733): 1.01999560608
(43289,30733): 1.0
(29451,50201): 1.0
(21457,105619): 1.08200742692
(56627,80796): 1.0
(95910,106916): 1.0
(44209,105619): 1.0
(43289,105619): 1.0
(43683,80796): 1.0
(34566,80796): 1.0
(29451,80796): 1.0605889873
(21457,20886): 1.0
(107968,30733): 1.0
(29451,90309): 1.0
(21457,101655): 1.08212156374
(56627,90309): 1.0
(95910,63238): 1.32630977318
(20886,50201): 1.0
(106916,20886): 1.25659852098
(107968,105619): 1.0
(98477,30733): 1.0
(25718,80796): 1.06187145246
(105619,43683): 1.0
(44209,20886): 1.0
(43289,20886): 1.15729248701
(106916,101655): 1.0
(98893,43683): 1.47809629906
(16168,29317): 1.0
(20886,80796): 1.07027150964
(106916,50201): 1.0
(105619,106916): 1.0
(25718,90309): 1.17052022196
(80796,29317): 1.0
(30550,34566): 1.0
(106916,80796): 1.0
(107968,20886): 1.0
(98477,105619): 1.0
(98893,106916): 1.0
(25718,43683): 1.0335283965
(29317,72918): 1.0
(56627,43683): 1.0
(44209,101655): 1.0
(43289,101655): 1.0
(44209,50201): 1.0
(43289,50201): 1.0
(95910,16168): 1.0
(56627,106916): 1.0
(95910,98477): 1.0
(56627,63238): 1.0
(25718,106916): 1.16068686052
(90309,106916): 1.0
(21040,72918): 1.0566799996
(21457,50201): 1.0
(56627,95910): 1.24317656955
(34566,90309): 1.0
(43683,90309): 1.0
(34566,43683): 1.0
(43289,80796): 1.10830953058
(107968,101655): 1.0
(98477,20886): 1.0
(98893,63238): 1.34798487062
(90309,63238): 2.16857363615
(106916,90309): 1.0
(20886,90309): 1.06381531658
(21040,29317): 1.0
(98893,95910): 1.0
(20886,43683): 1.03814130367
(106916,43683): 1.0
(95910,21040): 1.13778727274
(56627,16168): 1.0
(106916,63238): 1.0
(43289,90309): 1.0
(44209,80796): 1.0
(21457,80796): 1.0
(21040,34566): 1.0
(29317,34566): 1.0
(25718,63238): 1.0
(43289,43683): 1.01157870296
(44209,90309): 1.0
(25718,95910): 1.01171496397
(56627,98477): 1.82677708489
(95910,44209): 1.45433220528
(29317,29451): 1.00432870209
(106916,95910): 1.0
(29317,30733): 1.0
(56627,21040): 1.09875747211
(95910,56627): 1.24317656955
(43289,106916): 1.0
(43683,106916): 1.0
(106916,16168): 1.04642017436
(21457,90309): 1.08121627561
(90309,95910): 1.0
(98893,16168): 1.0
(106916,98477): 1.0
(20886,106916): 1.15164558966
(43289,63238): 1.0
(21040,29451): 1.0
(21457,43683): 1.0
(106916,21040): 1.0
(20886,63238): 1.0
(98477,101655): 1.0
(107968,50201): 1.0
(44209,43683): 1.0
(43289,95910): 1.42842487811
(21040,30733): 1.0
(21457,106916): 1.07674006829
(107968,80796): 1.0
(20886,95910): 1.0
(98477,50201): 1.0
(107968,90309): 1.0
(43683,63238): 1.0
(30733,72918): 1.0
(20886,16168): 1.0
(29317,105619): 1.04896364977
(25718,16168): 1.00192012832
(95910,110103): 1.0
(56627,44209): 1.06705314224
(98477,80796): 1.0
(21040,105619): 1.08164085443
(29317,20886): 1.03829645454
(107968,43683): 1.0
(90309,16168): 1.0
(98893,98477): 1.0
(90309,98477): 1.0
(43289,16168): 1.0
(106916,44209): 1.0
